ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,month,month_name,day,hour
13999729,JJ453833,2025-10-16 11:53:00,088XX S MARQUETTE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,423,4,7.0,46.0,08A,1195792.0,1846854.0,2025,11/02/2025 03:41:09 PM,41.734660589,-87.558283815,"(41.734660589, -87.558283815)",10,October,Thursday,11
14000379,JJ453877,2025-10-16 11:30:00,007XX W OHARE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,AIRPORT BUILDING NON-TERMINAL - SECURE AREA,False,False,1654,16,41.0,76.0,08A,1095801.0,1941117.0,2025,10/24/2025 03:42:34 PM,41.995224371,-87.922967887,"(41.995224371, -87.922967887)",10,October,Thursday,11
13999410,JJ453698,2025-10-16 11:06:00,039XX N PINE GROVE AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,1925,19,46.0,6.0,08A,1170694.0,1926410.0,2025,11/02/2025 03:41:09 PM,41.953552585,-87.647905229,"(41.953552585, -87.647905229)",10,October,Thursday,11
14011601,JJ468109,2025-10-16 10:40:00,037XX S INDIANA AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,False,False,212,2,3.0,35.0,08A,1178214.0,1880299.0,2025,11/02/2025 03:41:09 PM,41.826853399,-87.621667187,"(41.826853399, -87.621667187)",10,October,Thursday,10
13999274,JJ453522,2025-10-16 08:45:00,017XX W GRANVILLE AVE,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,2433,24,40.0,77.0,26,1163793.0,1941239.0,2025,11/02/2025 03:41:09 PM,41.994392579,-87.672853579,"(41.994392579, -87.672853579)",10,October,Thursday,8
13999301,JJ453589,2025-10-16 08:35:00,001XX W 83RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,622,6,6.0,44.0,08A,1176630.0,1849945.0,2025,11/02/2025 03:41:09 PM,41.743594758,-87.628391593,"(41.743594758, -87.628391593)",10,October,Thursday,8
14002395,JJ457292,2025-10-16 07:08:00,003XX W 115TH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,False,False,522,5,21.0,49.0,11,1175915.0,1828666.0,2025,11/02/2025 03:41:09 PM,41.685218271,-87.631646796,"(41.685218271, -87.631646796)",10,October,Thursday,7
14001412,JJ454828,2025-10-16 01:45:00,072XX S EAST END AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,STREET,False,False,324,3,7.0,43.0,08A,1188788.0,1857344.0,2025,11/02/2025 03:41:09 PM,41.763616341,-87.58360812,"(41.763616341, -87.58360812)",10,October,Thursday,1
13999150,JJ453298,2025-10-16 01:37:00,048XX N SHERIDAN RD,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,2024,20,46.0,3.0,26,1168764.0,1932204.0,2025,11/02/2025 03:41:09 PM,41.969493656,-87.654831392,"(41.969493656, -87.654831392)",10,October,Thursday,1
14000293,JJ454775,2025-10-16 00:45:00,037XX W DOUGLAS BLVD,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,1011,10,24.0,29.0,08A,1151836.0,1893202.0,2025,11/02/2025 03:41:09 PM,41.862819672,-87.718104808,"(41.862819672, -87.718104808)",10,October,Thursday,0
14011712,JJ468468,2025-10-16 00:00:00,036XX W 55TH PL,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,822,8,23.0,62.0,11,1153052.0,1867555.0,2025,11/02/2025 03:41:09 PM,41.792416962,-87.714319337,"(41.792416962, -87.714319337)",10,October,Thursday,0
13999622,JJ453995,2025-10-16 00:00:00,090XX S ESCANABA AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,423,4,10.0,46.0,11,1196961.0,1845532.0,2025,11/02/2025 03:41:09 PM,41.731003945,-87.554045054,"(41.731003945, -87.554045054)",10,October,Thursday,0
